characterId,characterName,Type,skillOrder,skillType,skillName,skillCost,skillEffect,skillRaw
C028,远坂凛,人类,4,终结,平行世界魔力干涉,移除3个宝石指示物，④，IV,丢一个骰子，获得对应效果：【1：无效果】【2-4：给予每位对手各8点咒术伤害】【5-6：本回合你获得无限魔力】,【终结】平行世界魔力干涉（移除3个宝石指示物，④，IV）丢一个骰子，获得对应效果：【1：无效果】【2-4：给予每位对手各8点咒术伤害】【5-6：本回合你获得无限魔力】
C029,卡莲,人类,1,响应,被虐灵媒体质,当你防御时，弃3张牌,免疫本次伤害,【响应】被虐灵媒体质（当你防御时，弃3张牌）免疫本次伤害
C029,卡莲,人类,2,通常,必杀的毒舌,⑤,沉默目标对手，给予他2咒术伤害,【通常】必杀的毒舌（⑤）沉默目标对手，给予他2咒术伤害
C029,卡莲,人类,3,启动,魔法少女卡莲变身,④，I,启动状态下，你每回合第一次给予的技能伤害带有【穿透】,【启动】魔法少女卡莲变身（④，I）启动状态下，你每回合第一次给予的技能伤害带有【穿透】
C029,卡莲,人类,4,终结,マグダラ的圣骸布,④，IV,魅惑所有对手，然后给予自己1点直接伤害,【终结】マグダラ的圣骸布（④，IV）魅惑所有对手，然后给予自己1点直接伤害
C030,伊莉雅,人外,1,响应,圣杯容器,每回合1次，任意玩家回合开始时，弃4张召唤费用大于1的牌,你可以将召唤区任意1张牌召唤到牌库顶,【响应】圣杯容器（每回合1次，任意玩家回合开始时，弃4张召唤费用大于1的牌）你可以将召唤区任意1张牌召唤到牌库顶
C030,伊莉雅,人外,2,通常,BerserCar,⑥,指定目标队友将X张牌如防御牌般放在阵地区，然后给予目标对手X点体术伤害,【通常】BerserCar（⑥）指定目标队友将X张牌如防御牌般放在阵地区，然后给予目标对手X点体术伤害
C030,伊莉雅,人外,3,启动,魔法少女伊莉雅变身,④，I,启动状态下，你每次以技能给予伤害时，抓1张牌，展示并弃掉它，本次伤害+【展示牌的防御值】,【启动】魔法少女伊莉雅变身（④，I）启动状态下，你每次以技能给予伤害时，抓1张牌，展示并弃掉它，本次伤害+【展示牌的防御值】
C030,伊莉雅,人外,4,终结,老虎道场大乱斗,⑦，II,将目标队友所有防御牌置入弃牌堆，给予目标对手【这些牌召唤费用之和】点咒术伤害,【终结】老虎道场大乱斗（⑦，II）将目标队友所有防御牌置入弃牌堆，给予目标对手【这些牌召唤费用之和】点咒术伤害
C031,弓冢五月,人外,1,响应,新人吸血鬼,当你的生命值为1时，任意回合结束时,回复你所有生命值,【响应】新人吸血鬼（当你的生命值为1时，任意回合结束时）回复你所有生命值
C031,弓冢五月,人外,2,通常,无法到达远野君处之拳,④，X,给予目标对手3+X点体术伤害,【通常】无法到达远野君处之拳（④，X）给予目标对手3+X点体术伤害
C031,弓冢五月,人外,3,通常,小巷子同盟,③,说一个牌名，翻开目标对手牌库顶1张牌，若翻开的牌是你所说的同名牌，你获得1灵脉；否则他和你各抓1张牌,【通常】小巷子同盟（③）说一个牌名，翻开目标对手牌库顶1张牌，若翻开的牌是你所说的同名牌，你获得1灵脉；否则他和你各抓1张牌
C031,弓冢五月,人外,4,终结,枯竭庭园,V,移除所有结界，所有玩家生命值降低到1,【终结】枯竭庭园（V）移除所有结界，所有玩家生命值降低到1
